Program,Service,Activity,Category Name,Category,Expense/Revenue,2016
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Salaries And Benefits,100A,Expenses,78670681.25
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Service And Rent,400A,Expenses,7326466.49
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Sundry and Other Revenues,940A,Revenues,-930160.3
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,User Fees & Donations,850A,Revenues,-6132216.54
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Equipment,300A,Expenses,7912.1
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Inter-Divisional Charges,700A,Expenses,69695.26
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Inter-Divisional Recoveries,750A,Revenues,-232600.0
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Materials & Supplies,200A,Expenses,26308.95
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Salaries And Benefits,100A,Expenses,866813.3
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Service And Rent,400A,Expenses,26692.45
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Sundry and Other Revenues,940A,Revenues,-3487.55
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Contribution To Reserves/Reserve Funds,510A,Expenses,1055077.16
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Equipment,300A,Expenses,11555.4
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Inter-Divisional Charges,700A,Expenses,441755.5
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Inter-Divisional Recoveries,750A,Revenues,-44550.0
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Materials & Supplies,200A,Expenses,613268.02
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Other Expenditures,650A,Expenses,49700.0
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Salaries And Benefits,100A,Expenses,5710527.27
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Service And Rent,400A,Expenses,382971.15
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,User Fees & Donations,850A,Revenues,-7434020.69
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Contribution To Reserves/Reserve Funds,510A,Expenses,307.66
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Equipment,300A,Expenses,2271.45
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Inter-Divisional Charges,700A,Expenses,86119.97
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Licences & Permits Revenue,860A,Revenues,-28516.83
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Materials & Supplies,200A,Expenses,218346.75
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Other Expenditures,650A,Expenses,13.5
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Salaries And Benefits,100A,Expenses,1116620.55
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Service And Rent,400A,Expenses,51057.63
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Sundry and Other Revenues,940A,Revenues,-32832.2
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Contribution From Reserves/Reserve Funds,930A,Revenues,-13182086.65
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Contribution To Reserves/Reserve Funds,510A,Expenses,464719.86
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Equipment,300A,Expenses,288521.76
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Federal Subsidies,810A,Revenues,-3500000.0
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Inter-Divisional Charges,700A,Expenses,2046137.86
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Inter-Divisional Recoveries,750A,Revenues,-37500.0
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Materials & Supplies,200A,Expenses,1281871.33
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Other Expenditures,650A,Expenses,187.75
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Salaries And Benefits,100A,Expenses,19865364.69
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Service And Rent,400A,Expenses,24378304.74
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Sundry and Other Revenues,940A,Revenues,-1753127.0
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Contribution From Reserves/Reserve Funds,930A,Revenues,-797242.36
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Contribution To Reserves/Reserve Funds,510A,Expenses,92943.97
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Equipment,300A,Expenses,12383.25
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Inter-Divisional Charges,700A,Expenses,146366.3
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Inter-Divisional Recoveries,750A,Revenues,-1962500.0
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Materials & Supplies,200A,Expenses,941425.12
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Other Expenditures,650A,Expenses,112.25
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Salaries And Benefits,100A,Expenses,4219053.27
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Service And Rent,400A,Expenses,8886923.63
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Sundry and Other Revenues,940A,Revenues,-4511128.0
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,User Fees & Donations,850A,Revenues,-600000.0
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Contribution To Reserves/Reserve Funds,510A,Expenses,61962.65
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Equipment,300A,Expenses,13423.0
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Inter-Divisional Charges,700A,Expenses,94829.85
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Materials & Supplies,200A,Expenses,52946.54
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Other Expenditures,650A,Expenses,3400.0
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Salaries And Benefits,100A,Expenses,5061178.22
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Service And Rent,400A,Expenses,34231.36
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,User Fees & Donations,850A,Revenues,-3209633.71
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Contribution From Reserves/Reserve Funds,930A,Revenues,0.01
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Contribution To Reserves/Reserve Funds,510A,Expenses,138809.12
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Equipment,300A,Expenses,15205.95
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Inter-Divisional Charges,700A,Expenses,81190.94
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Materials & Supplies,200A,Expenses,19297.47
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Other Expenditures,650A,Expenses,23699.05
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Salaries And Benefits,100A,Expenses,3510746.92
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Service And Rent,400A,Expenses,101942.47
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Transfers From Capital,920A,Revenues,-1447203.29
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,User Fees & Donations,850A,Revenues,-1746.84
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,Equipment,300A,Expenses,1999.99
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,Materials & Supplies,200A,Expenses,2212.95
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,Salaries And Benefits,100A,Expenses,766614.06
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,Service And Rent,400A,Expenses,20600.0
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Equipment,300A,Expenses,750.0
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Inter-Divisional Charges,700A,Expenses,234577.34
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Inter-Divisional Recoveries,750A,Revenues,-1191161.35
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Materials & Supplies,200A,Expenses,1038.5
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Salaries And Benefits,100A,Expenses,1941231.48
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Service And Rent,400A,Expenses,5592.04
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Sundry and Other Revenues,940A,Revenues,-222039.99
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Contribution From Reserves/Reserve Funds,930A,Revenues,-875.34
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Contribution To Reserves/Reserve Funds,510A,Expenses,22454.95
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Equipment,300A,Expenses,160000.0
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Inter-Divisional Charges,700A,Expenses,279309.39
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Materials & Supplies,200A,Expenses,37874.25
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Provincial Subsidies,805A,Revenues,-225000.0
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Salaries And Benefits,100A,Expenses,2353134.03
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Service And Rent,400A,Expenses,203970.26
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Sundry and Other Revenues,940A,Revenues,-9124.66
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Equipment,300A,Expenses,2900.0
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Inter-Divisional Recoveries,750A,Revenues,-946687.08
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Materials & Supplies,200A,Expenses,438.51
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Salaries And Benefits,100A,Expenses,2018254.59
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Service And Rent,400A,Expenses,16658.06
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Equipment,300A,Expenses,18999.88
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Inter-Divisional Recoveries,750A,Revenues,-3087023.09
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Materials & Supplies,200A,Expenses,2357.28
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Salaries And Benefits,100A,Expenses,5725897.77
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Service And Rent,400A,Expenses,52876.7
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Equipment,300A,Expenses,1225.19
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Inter-Divisional Recoveries,750A,Revenues,-205801.54
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Materials & Supplies,200A,Expenses,350.81
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Salaries And Benefits,100A,Expenses,554827.15
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Service And Rent,400A,Expenses,2263.1
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Transfers From Capital,920A,Revenues,-114615.23
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Contribution To Reserves/Reserve Funds,510A,Expenses,103265.79
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Equipment,300A,Expenses,15117.94
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Inter-Divisional Charges,700A,Expenses,341639.0
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Inter-Divisional Recoveries,750A,Revenues,-1029007.7
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Materials & Supplies,200A,Expenses,821377.97
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Salaries And Benefits,100A,Expenses,1544565.33
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Service And Rent,400A,Expenses,196732.94
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Transfers From Capital,920A,Revenues,-573076.07
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Equipment,300A,Expenses,625.19
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Inter-Divisional Recoveries,750A,Revenues,-1234809.23
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Materials & Supplies,200A,Expenses,815.96
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Salaries And Benefits,100A,Expenses,1204063.88
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Service And Rent,400A,Expenses,5045.31
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Sundry and Other Revenues,940A,Revenues,-103780.98
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Transfers From Capital,920A,Revenues,-687691.21
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Equipment,300A,Expenses,12275.19
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Inter-Divisional Charges,700A,Expenses,13051.0
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Inter-Divisional Recoveries,750A,Revenues,-1646412.32
